start_date,campaign,country,m0_retent,m1_retent,m2_retent
2020-11-01,(data deleted),Canada,0,0,0
2020-11-01,(data deleted),Turkey,0,0,0
2020-11-01,(data deleted),United Kingdom,0,0,0
2020-11-01,(data deleted),United States,0,0,0
2020-11-01,(direct),Canada,0,0,0
2020-11-01,(direct),France,0,0,0
2020-11-01,(direct),Germany,0,0,0
2020-11-01,(direct),India,0,0,0
2020-11-01,(direct),United Kingdom,0,0,0
2020-11-01,(direct),United States,0,0,0
2020-11-01,(null),(not set),0.167,0,0
2020-11-01,(null),Algeria,0,0,0
2020-11-01,(null),Argentina,0,0,0
2020-11-01,(null),Australia,0,0,0
2020-11-01,(null),Austria,0,0,0
2020-11-01,(null),Bahrain,0,0,0
2020-11-01,(null),Bangladesh,0,0,0
2020-11-01,(null),Belgium,0,0,0
2020-11-01,(null),Brazil,0,0,0
2020-11-01,(null),Cambodia,0,0,0
2020-11-01,(null),Canada,0.034,0,0
2020-11-01,(null),Chile,0,0,0
2020-11-01,(null),China,0.05,0,0
2020-11-01,(null),Colombia,0,0,0
2020-11-01,(null),Costa Rica,0,0,0
2020-11-01,(null),Czechia,0,0,0
2020-11-01,(null),Denmark,0.25,0,0
2020-11-01,(null),Dominican Republic,0,0,0
2020-11-01,(null),Ecuador,0,0,0
2020-11-01,(null),Egypt,0,0,0
2020-11-01,(null),Finland,0,0,0
2020-11-01,(null),France,0.088,0,0
2020-11-01,(null),Georgia,0.5,0,0
2020-11-01,(null),Germany,0.05,0,0
2020-11-01,(null),Greece,0.25,0,0
2020-11-01,(null),Guatemala,0,0,0
2020-11-01,(null),Hong Kong,0.111,0,0
2020-11-01,(null),Hungary,0,0,0
2020-11-01,(null),India,0.067,0,0
2020-11-01,(null),Indonesia,0,0,0
2020-11-01,(null),Ireland,0,0,0
2020-11-01,(null),Israel,0.125,0,0
2020-11-01,(null),Italy,0,0,0
2020-11-01,(null),Japan,0.063,0,0
2020-11-01,(null),Kazakhstan,0,0,0
2020-11-01,(null),Kenya,0,0,0
2020-11-01,(null),Kuwait,0,0,0
2020-11-01,(null),Latvia,0,0,0
2020-11-01,(null),Lebanon,0,0,0
2020-11-01,(null),Macao,0,0,0
2020-11-01,(null),Malaysia,0.077,0,0
